模型,MAE平均每次预测差,RMSE对大误差更敏感的误差指标,R2模型对真实租赁量变化的解释能力
历史均值基线,76.7629,116.9196,0.6636
线性回归,89.2809,121.54,0.6365
随机森林,62.3261,105.2536,0.7274
